SEXE_PERS_PHYS;SECTEUR_SCIAN;NB_LESION
HOMME;ADMINISTRATIONS PUBLIQUES;25628
FEMME;ADMINISTRATIONS PUBLIQUES;8767
FEMME;AGRICULTURE;1841
HOMME;AGRICULTURE;4694
HOMME;AUTRES OU NON CODES;75940
FEMME;AUTRES OU NON CODES;14522
HOMME;AUTRES SERVICES;14532
FEMME;AUTRES SERVICES;5008
HOMME;COMMERCE DE DETAIL;28908
FEMME;COMMERCE DE DETAIL;23664
FEMME;COMMERCE DE GROS;3117
HOMME;COMMERCE DE GROS;19945
HOMME;CONSTRUCTION;52511
FEMME;CONSTRUCTION;1892
FEMME;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;338
HOMME;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;5886
HOMME;FABRICATION DE BIENS DURABLES;62953
FEMME;FABRICATION DE BIENS DURABLES;8930
FEMME;FABRICATION DE BIENS NON DURABLES;16988
HOMME;FABRICATION DE BIENS NON DURABLES;39110
HOMME;FINANCE ET ASSURANCES;485
FEMME;FINANCE ET ASSURANCES;1575
HOMME;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;2175
FEMME;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;144
HOMME;HEBERGEMENT ET SERVICES DE RESTAURATION;9999
FEMME;HEBERGEMENT ET SERVICES DE RESTAURATION;13694
FEMME;INFORMATION, CULTURE ET LOISIRS;3567
HOMME;INFORMATION, CULTURE ET LOISIRS;7098
FEMME;PECHE, CHASSE ET PIEGEAGE;12
HOMME;PECHE, CHASSE ET PIEGEAGE;183
FEMME;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;10936
HOMME;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;20889
FEMME;SERVICES D'ENSEIGNEMENT;23295
HOMME;SERVICES D'ENSEIGNEMENT;7659
HOMME;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;3126
FEMME;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;638
HOMME;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;2608
FEMME;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;2566
FEMME;SERVICES PUBLICS;289
HOMME;SERVICES PUBLICS;2007
FEMME;SOINS DE SANTE ET ASSISTANCE SOCIALE;163314
HOMME;SOINS DE SANTE ET ASSISTANCE SOCIALE;39221
HOMME;TRANSPORT ET ENTREPOSAGE;32916
FEMME;TRANSPORT ET ENTREPOSAGE;6236
